stop,name_en,name_tc,name_sc,lat,long
71429CEA8EA90958,MONG KOK STATION,旺角站,旺角站,22.319454,114.170828
325D8BC721F823F1,TOMB PARK,古墓公園,古墓公园,22.337790,114.160062
111216E506D8E575,"LAI YEUNG HOUSE, LEI CHENG UK ESTATE",李鄭屋邨禮讓樓,李郑屋邨礼让楼,22.339749,114.159979
27809B866B307D24,JOCKEY CLUB CLINIC CHEUNG SHA WAN,長沙灣賽馬會診療所,长沙湾赛马会诊疗所,22.340717,114.158592
FC29C8A636233BB4,AZALEA HOUSE SO UK ESTATE,蘇屋邨杜鵑樓,苏屋邨杜鹃楼,22.339536,114.156628
D355B700FF30B3D7,HING WAH STREET CHEUNG SHA WAN (X28),長沙灣興華街 (X28),长沙湾兴华街 (X28),22.337744,114.152954
6762DEA1B89E6354,CHEUNG LAI STREET CHEUNG SHA WAN (X45),長沙灣長荔街 (X45),长沙湾长荔街 (X45),22.336786,114.147023
3B68D3389F83FE39,MEI FOO BUS TERMINUS (T2),美孚巴士總站 (T2),美孚巴士总站 (T2),22.337253,114.139988
ACA7282A66D0A29B,TAI NAN WEST STREET,大南西街,大南西街,22.336102,114.149431
0C44BAE327DB4A8A,YU CHAU WEST STREET,汝州西街,汝州西街,22.338965,114.149766
2B0183A25DA19AE3,KWONG CHEUNG STREET,光昌街,光昌街,22.339349,114.150865
70AED81BA5AE0B49,CHEUNG WAH STREET,昌華街,昌华街,22.339842,114.154686
8F5CC6D12F796BC0,AZALEA HOUSE SO UK ESTATE,蘇屋邨杜鵑樓,苏屋邨杜鹃楼,22.339640,114.156695
310E4FE9B7419F88,LEI CHENG UK SHOPPING CENTRE,李鄭屋商場,李郑屋商场,22.338358,114.158329
9364661BEAC5B8D0,PEI HO STREET SHAM SHUI PO,深水埗北河街,深水埗北河街,22.328543,114.160750
8D386F5D210C3439,SHEK KIP MEI STREET,石硤尾街,石硖尾街,22.327142,114.162550
BD06457129045F1D,MONG KOK STATION,旺角站,旺角站,22.319696,114.170788
A72D15160CC3AF31,CLP POWER ARGYLE STREET,亞皆老街中電,亚皆老街中电,22.320532,114.175816
8D5C58075D3C1003,KOWLOON HOSPITAL,九龍醫院,九龙医院,22.322801,114.180560
B0DDF2CD704116C8,HOSPITAL AUTHORITY BUILDING,醫院管理局,医院管理局,22.323790,114.182797
6C1DEF32B8CB92C4,HONG KONG EYE HOSPITAL,香港眼科醫院,香港眼科医院,22.324908,114.184866
161B32AD4C6996AD,EVANGEL HOSPITAL,播道醫院,播道医院,22.326104,114.187300
6965D1D655C2DD5F,ARGYLE STREET PLAYGROUND,亞皆老街球場,亚皆老街球场,22.327009,114.188955
E99D3F96A9F7B5EB,KOWLOON CITY BBI - REGAL ORIENTAL HOTEL (A5),九龍城轉車站- 富豪東方酒店(A5),九龙城转车站- 富豪东方酒店(A5),22.328723,114.192106
3D717F0365D5505B,KING TAI STREET,景泰街,景泰街,22.334279,114.199287
F60097D67F33DC0C,KAI YIP ESTATE,啟業邨,启业邨,22.330767,114.210263
5B49CF04EAB59906,AMOY GARDENS,淘大花園,淘大花园,22.324215,114.215869
921C19F6147C74A6,CHUN WAH COURT,振華苑,振华苑,22.322426,114.218357
47C3597662B81B47,LOK NGA COURT,樂雅苑,乐雅苑,22.322730,114.220872
